,Brand,Resolution,Size,Selling Price,Original Price,Operating System,Rating
123,MOTOROLA,HD LED,32,17999,21799,Android,4.3
124,PANASONIC,144Hz,50,37999,42990,Android,4.2
125,MOTOROLA,QLED Ultra HD,55,55999,63999,Android,4.3
126,TCL ,Full HD LED,65,63999,159990,Android,4.3
127,COOCAA ,144Hz,43,23999,54990,Android,4.3
128,LG ,144Hz,55,65999,109990,WebOS,4.5
129,COOCAA ,144Hz,50,31499,64990,Android,4.3
130,TCL ,Full HD LED,43,27190,47990,Android,4.3
131,VU,144Hz,43,30999,36000,Android,4.3
132,TOSHIBA,Full HD LED,43,22499,26990,VIDAA,4.4
133,HISENSE,144Hz,58,41999,50990,Android,4.4
134,MOTOROLA,144Hz,65,56999,115399,Android,4.3
135,LG ,HD LED,32,24057,29990,WebOS,4.3
136,SAMSUNG,QLED Ultra HD,50,73990,119900,Tizen,4.3
137,NOKIA ,Full HD LED,43,26999,39999,Android,4.2
138,MICROMAX,HD LED,32,13299,19900,Android,4.4
139,KODAK ,144Hz,50,32999,42999,Android,4.4
140,MICROMAX,HD LED,39,18999,24990,Android,3.5
141,KODAK ,144Hz,50,30999,33999,Android,4.3
142,NOKIA ,144Hz,55,44999,59999,Android,4.1
143,IFFALCON BY TCL,144Hz,65,53999,106990,Android,4.3
144,PHILIPS,144Hz,58,41999,119990,Android,4.2
145,SANSUI ,144Hz,50,36990,45190,Android,4.5
146,SAMSUNG,QLED Ultra HD,43,59990,94900,Tizen,4.7
147,LG ,HD LED,32,19890,27990,Linux,4.3
148,ONEPLUS,144Hz,55,52999,59999,Android,4.3
149,MOTOROLA,144Hz,43,35999,49999,Android,4.4
150,SONY ,Full HD LED,43,46799,52900,Android,4.7
151,TCL ,Full HD LED,50,34999,89990,Android,4.3
152,SAMSUNG,144Hz,43,41900,49990,Tizen,
153,PANASONIC,144Hz,55,46999,109900,Linux,4.2
154,LG ,144Hz,43,41349,57990,WebOS,
155,SONY ,144Hz,43,67990,74900,Linux,4.7
156,SAMSUNG,HD LED,32,21600,22900,Tizen,4.5
157,SAMSUNG,QLED Ultra HD,65,121990,222900,Tizen,4.3
158,MOTOROLA,144Hz,65,66999,79999,Android,4.4
159,LG ,144Hz,65,83599,119990,WebOS,4.4
160,SAMSUNG,QLED Ultra HD,55,128999,169900,Tizen,4.6
161,SONY ,144Hz,49,75099,89900,Android,4.4
162,SONY ,144Hz,55,73999,99990,Linux,4.5
163,CROMA ,HD LED,32,10990,20000,Android,4.8
164,SAMSUNG,144Hz,50,57989,73900,Tizen,4.7
165,LG ,144Hz,65,129999,229900,WebOS,5.0
166,SAMSUNG,QLED Ultra HD,55,84990,134900,Tizen,4.7
167,SAMSUNG,144Hz,43,45400,56900,Linux,4.3
168,CROMA ,HD LED,24,7990,15000,Android,
169,LG ,144Hz,55,137490,299990,WebOS,
170,SAMSUNG,HD LED,32,29900,29900,Tizen,3.8
171,TCL ,HD LED,32,14339,22990,Android,4.3
172,LG ,144Hz,48,89999,169990,WebOS,2.7
173,TCL ,144Hz,65,146999,299990,Android,
174,LG ,144Hz,43,54990,54990,WebOS,4.4
175,LG ,144Hz,55,64999,93990,WebOS,4.3
176,LG ,HD LED,32,28401,30990,WebOS,4.4
177,SANSUI ,Full HD LED,43,27490,33990,Android,4.1
178,LG ,144Hz,43,43599,59990,WebOS,
179,SAMSUNG,144Hz,55,59990,88900,Tizen,
180,LG ,144Hz,55,76197,129990,WebOS,4.8
181,REALME ,Full HD LED,32,17999,23999,Android,4.2
182,MICROMAX,Full HD LED,43,22999,26990,Android,3.9
183,SAMSUNG,QLED Ultra HD,55,159500,244900,Tizen,4.4
184,MICROMAX,Full HD LED,43,23990,33000,Android,4.3
185,LG ,144Hz,43,47499,75343,WebOS,4.5
186,LG ,144Hz,43,46969,64990,WebOS,
187,TCL ,Full HD LED,75,144790,259990,Android,4.3
188,LG ,HD LED,32,22200,25999,WebOS,4.3
189,CANDES ,HD LED,24,9999,17990,Android,4.1
190,SAMSUNG,144Hz,50,55790,69900,Tizen,
191,SAMSUNG,QLED Ultra HD,55,89390,134900,Tizen,
192,LG ,144Hz,43,46590,59990,WebOS,4.5
193,LG ,Full HD LED,55,103990,103990,WebOS,4.2
194,SAMSUNG,144Hz,65,85990,116900,Tizen,4.3
195,SAMSUNG,QLED Ultra HD,65,318700,399900,Tizen,
196,SAMSUNG,144Hz,43,44870,54900,Tizen,
197,SAMSUNG,144Hz,43,38999,48900,Tizen,4.3
198,MI ,HD LED,32,14999,14999,Android,4.4
199,LG ,144Hz,55,57200,84990,WebOS,
200,LG ,144Hz,65,139999,254990,WebOS,
201,DYANORA,Full HD LED,42,18499,32999,Android,
202,SONY ,144Hz,65,169900,239900,Linux,
203,IFFALCON BY TCL,QLED Ultra HD,65,84999,229990,Android,4.3
204,SONY ,144Hz,55,102290,139900,Android,
205,DYANORA,HD LED,32,10999,15999,Android,4.3
206,LG ,144Hz,65,199999,349990,WebOS,4.4
207,LG ,144Hz,55,99999,166990,WebOS,
208,LG ,144Hz,55,155879,226990,WebOS,
209,LG ,144Hz,65,279990,399990,WebOS,
210,SAMSUNG,144Hz,55,64299,86900,Tizen,4.6
211,SONY ,144Hz,75,199491,299900,Linux,4.7
212,SAMSUNG,QLED Ultra HD,65,224999,279900,Tizen,5.0
213,SAMSUNG,144Hz,55,104900,104900,Tizen,4.4
214,LG ,144Hz,43,43599,59990,WebOS,
215,HISENSE,HD LED,32,18490,24990,Android,
216,LG ,Full HD LED,43,36499,41990,WebOS,4.4
217,SAMSUNG,QLED Ultra HD,55,144990,199990,Tizen,
218,LG ,144Hz,55,128100,209990,WebOS,
219,TCL ,144Hz,55,55499,89900,Android,4.3
220,MICROMAX,144Hz,49,42490,59990,Android,4.2
221,LG ,144Hz,55,63990,91990,WebOS,4.7
222,SAMSUNG,QLED Ultra HD,55,163738,211900,Tizen,
223,BLAUPUNKT,144Hz,65,55999,75999,Android,
224,IFFALCON BY TCL,144Hz,55,36999,59990,Android,4.3
225,SONY ,144Hz,65,113999,179900,Android,4.4
226,HAIER ,Full HD LED,42,28240,43990,Android,5.0
227,SAMSUNG,144Hz,65,295900,295900,Tizen,
228,SONY ,144Hz,65,469999,529900,Android,5.0
229,PANASONIC,144Hz,55,62738,82990,Linux,
230,SONY ,144Hz,75,259999,499900,Android,3.7
231,LG ,144Hz,65,249999,409990,WebOS,4.8
232,TOSHIBA,144Hz,50,33999,46990,VIDAA,4.3
